Surname;First name;Cl.name;Class;Time;Pl;Points;SOL1;SOL2;SOL3;Sum;Average;ID
Kurinčič;Jakob;OK Komenda;M10;0:09:02;1;25;15;20;25;45;22;915
Sedej;David;OK Azimut;M10;0:09:52;2;20;20;7;20;40;20;923
Foški;Oskar;OK Polaris;M10;0:11:11;4;12;8;25;12;37;18;878
Kölner;Anže;OK Komenda;M10;0:12:05;6;8;25;12;8;37;18;879
Ferenc;Martin;OK Tivoli;M10;0:09:53;3;15;12;10;15;27;14;975
Malus;Ožbej;OK Komenda;M10;0:19:25;8;6;10;15;6;25;12;840
Malus;Drejc;OK Komenda;M10;0:11:11;4;12;7;-;12;19;10;895
Šuc;Enej;OK Komenda;M10;0:13:51;7;7;-;8;7;15;8;928
Valič;Ištvan;OK Slovenj Gradec;M10;;;;6;;;6;6;950
Cvelbar;Luka;OK Azimut;M10;;;;;;;0;0;﻿922
Kacin;Rok;OK Azimut;M10;;;;*;;;0;0;977
Kremžar;Florijan;OK Komenda;M10;;;;;;;0;0;970
Bizjak;Izak;OK Azimut;M10;;;;;;;0;0;978
Bogataj;Rok;OK Azimut;M12;0:14:14;1;25;25;20;25;50;25;766
Seljak;Luka;OK Komenda;M12;0:15:06;2;20;20;25;20;45;22;613
Škvarča;Aljaž;OK Azimut;M12;0:15:48;3;15;;12;15;27;14;971
Cokan;Jan;OK Komenda;M12;0:15:54;4;12;15;-;12;27;14;897
Trunk;Nejc;OK Komenda;M12;0:23:38;6;8;10;15;8;25;12;839
Jerebič;Simon Erik;OK Komenda;M12;0:26:31;8;6;12;;6;18;9;976
Žižek;Lev;OK Azimut;M12;0:22:55;5;10;;;10;10;10;934
Gantar;Borut;OK Azimut;M12;0:24:40;7;7;-;;7;7;7;920
Kepic;Lara;Kamniški OK;M12;;;;;;;0;0;815
Seljak;Jaka;OK Komenda;M12;wrongKat;;;*;*;*;0;0;884
Čuk;Jonatan;OK Azimut;M12;;;;;;;0;0;980
Mar;Aljaž;OK Azimut;M12;;;;;;;0;0;972
Štifter;Matevž;OK Slovenj Gradec;M12;;;;;;;0;0;956
Leban;Domen;OK Azimut;M12;;;;;;;0;0;824
Salopek;Tihon;OK Azimut;M14;;;;25;25;;50;25;833
Turk;Nejc;OK Komenda;M14;0:15:36;1;25;20;15;25;45;22;701
Jevševar;Martin;OK Brežice;M14;;;;12;20;;32;16;585
Kern;Rok;OK Komenda;M14;0:20:48;3;15;10;12;15;27;14;648
Kunc;Matevž;OK Tivoli;M14;0:18:51;2;20;;;20;20;20;578
Zupan;Tilen;OK Komenda;M14;0:21:32;4;12;8;8;12;20;10;700
Hribar;Timotej;OK Brežice;M14;;;;7;10;;17;8;823
Čelik;Aljaž;OK Azimut;M14;;;;15;;;15;15;736
Gantar;Primož;OK Azimut;M14;0:26:36;5;10;-;;10;10;10;917
Anderluh;Luka;OK Polaris;M14;;;;-;;;0;0;474
Groff;Žiga;OK Azimut;M14;wrongKat;;;;;*;0;0;483
Močnik;Fedja;OK Polaris;M14;;;;;;;0;0;654
Krkoč;Janoš;PD Ajdovščina;M14;;;;;;;0;0;787
Bratož;Jani;PD Ajdovščina;M14;;;;-;;;0;0;773
Poženel;Natan Maj;PD Tolmin;M14;wrongKat;;;*;*;*;0;0;873
Samec;Andraž;PD Ajdovščina;M14;;;;;;;0;0;807
Katarič;Tit;OK Azimut;M14;;;;;;;0;0;845
Kavčič;Domen;OK Komenda;M16;0:25:38;1;25;25;;25;50;25;652
Luznar;Aljaž;OK Azimut;M16;0:44:52;5;10;15;;10;25;12;966
Kavčič;Julijan;OK Azimut;M16;;;;20;;;20;20;731
Domnik;Nejc;OK Azimut;M16;0:32:08;2;20;;;20;20;20;779
Žurbi;Domen;OK Komenda;M16;0:32:50;3;15;;;15;15;15;688
Logar;Enej;OK Azimut;M16;0:40:45;4;12;;;12;12;12;872
Smole;Enej;OK Polaris;M16;1:05:16;6;8;;-;8;8;8;471
Jamšek;Benjamin;OK Azimut;M16;;;;;;;0;0;907
Tozan;Uroš;PD Ajdovščina;M16;;;;-;;;0;0;903
Keresteš;Vid;OK Trzin;M16;;;;;;;0;0;586
Brus;Jakob;OK Azimut;M16;;;;;;;0;0;848
Gregorič;Nik;PD Ajdovščina;M16;;;;;;;0;0;725
Vetrih;Samo;PD Ajdovščina;M16;;;;;;;0;0;899
Žvanut;Tilen;PD Ajdovščina;M16;;;;;;;0;0;812
Obid;Aljaž;OK Azimut;M16;;;;-;-;;0;0;846
Krkoč;Urban;PD Ajdovščina;M16;;;;;;;0;0;724
Trajbarič;Martin;OK Tivoli;M16;;;;;-;;0;0;926
Pestotnik Stres;Svit;OK Polaris;M16;;;;;;;0;0;706
Kavčič;Jure;OK Komenda;M18;0:47:40;2;20;15;25;20;45;22;901
Čopi;Gašper;PD Tolmin;M18;;;;25;;;25;25;737
Gantar;Tjaž;OK Azimut;M18;0:41:22;1;25;-;;25;25;25;536
Rupnik;Ambrož;OK Azimut;M18;;;;20;;;20;20;778
Kunc;Gregor;OK Tivoli;M18;;;;-;;;0;0;499
Smole;Brin;OK Polaris;M18;;;;;;;0;0;318
Erjavec;Andrej;OK Azimut;M18;;;;*;;;0;0;941
Rovtar;Jošt;OK Azimut;M18;;;;;;;0;0;940
Rupnik;Andraž;OK Azimut;M18;;;;;;;0;0;938
Močnik;Saš;OK Polaris;M18;;;;;;;0;0;323
Jeram;Mitja;OK Azimut;M18;;;;;;;0;0;943
Rodman;Maks;PD Ajdovščina;M18;;;;;;;0;0;723
Škarabot;Matej;OK Polaris;M21A;0:43:21;2;20;25;25;20;50;25;132
Petrovič;Gašper;OK Polaris;M21A;;;;20;20;;40;20;71
Eržen;Valentin;OK Azimut;M21A;0:43:14;1;25;*;15;25;40;20;386
Zupan;Gregor;OK Komenda;M21A;0:43:27;3;15;5;12;15;27;14;712
Močnik;Nejc;OK Azimut;M21A;;;;12;8;;20;10;190
Golja;Elio;OK Polaris;M21A;0:45:28;5;10;10;;10;20;10;664
Kurinčič;Simon;OK Komenda;M21A;0:49:02;6;8;6;10;8;18;9;838
Hadalin;Iztok;OK Azimut;M21A;;;;15;;;15;15;704
Obid;Marko;OK Azimut;M21A;0:45:01;4;12;*;;12;12;12;392
Černe;Aljaž;OK Tivoli;M21A;;;;8;;;8;8;663
Peternelj;Drago;OK Azimut;M21A;0:52:20;7;7;;;7;7;7;447
De Luisa;Andraž;OK Azimut;M21A;;;;7;;;7;7;595
Zobavnik;Aleš;Kamniški OK;M21A;0:54:34;8;6;;;6;6;6;698
Furman;Zoran;OK Slovenske Konjice;M21A;;;;4;;;4;4;5
Valič;Jakob;PD Ajdovščina;M21A;;;;3;;;3;3;947
Močnik;Rok;OK Azimut;M21A;;;;*;;;0;0;191
Knap;Franc;OK Azimut;M21A;;;;;;;0;0;97
Rebolj;Aljoša;OK Polaris;M21A;;;;;;;0;0;711
Šalamun;Jan;OK Polaris;M21A;;;;;;;0;0;150
Borštnik;Aljaž;OK Tivoli;M21A;;;;;;;0;0;26
Malus;Franc;OK Komenda;M21B;0:36:40;2;20;20;25;20;45;22;904
Bogataj;Boštjan;OK Azimut;M21B;0:31:41;1;25;10;12;25;37;18;765
Vidič;Matej;OK Azimut;M21B;0:39:23;3;15;6;20;15;35;18;757
Balek;Aleš;OK Slovenj Gradec;M21B;;;;25;;;25;25;829
Šuc;Timotej;OK Komenda;M21B;1:00:02;7;7;*;15;7;22;11;946
Mikuž;Denis;OK Azimut;M21B;0:45:42;4;12;;10;12;22;11;983
Kacin;Emil;OK Azimut;M21B;;;;15;;;15;15;96
Babič;Silvo;OK Komenda;M21B;mp;;;12;;-;12;12;914
Gantar;Kristjan;OK Azimut;M21B;0:51:43;5;10;-;;10;10;10;918
